
43,13
30,25
10,15
33,2
29,16
18,10
3,19
31,28
22,17
2,26
8,19
44,18
0,19
13,24
10,18
44,9
40,9
0,27
18,8
23,9
29,4
34,25
28,20
31,1
38,10
10,10
8,26
1,24
44,13
41,9
43,16
18,9
37,8
8,24
43,22
46,10
3,28
37,0
30,11
38,26
7,26
10,16
2,13
7,15
23,20
44,22
46,17
9,9
45,19
11,9
28,7
16,9
7,21
46,19
9,13
1,16
1,17
32,4
45,0
22,22
11,11
8,28
39,1
31,17
15,25
44,2
2,21
3,16
24,18
19,9
43,3
8,16
17,7
30,15
22,9
22,21
30,4
28,10
15,10
44,0
16,24
8,10
3,15
36,25
23,13
31,24
19,7
39,8
8,13
37,9
44,3
28,16
43,8
1,9
31,21
8,12
28,15
31,15
43,28
30,27
39,2
20,24
38,3
7,16
25,24
28,9
9,15
0,9
36,1
42,8
34,1
3,10
29,8
10,17
16,27
9,12
10,13
11,8
22,15
33,24
35,0
28,25
39,24
37,2
28,19
28,18
22,13
9,11
46,1
24,17
45,10
45,20
32,10
36,2
17,8
3,7
3,9
28,17
27,26
45,28
32,26
38,8
16,8
22,27
7,13
22,8
46,21
42,10
7,11
30,8
46,9
28,22
28,5
23,14
3,12
2,12
31,4
3,18
10,19
46,15
21,25
14,9
33,8
29,6
44,15
1,15
8,17
7,28
10,12
22,16
0,25
38,1
41,8
9,26
7,19
45,26
29,2
0,15
35,9
23,21
30,9
31,14
46,13
32,8
29,17
34,2
37,1
18,7
43,1
43,11
17,10
28,14
21,22
30,2
43,18
35,2
23,11
42,3
2,10
30,21
6,26
27,24
44,8
45,3
36,10
29,11
38,0
21,12
20,26
46,8
21,19
46,16
3,17
23,15
36,9
1,8
22,12
15,7
21,26
30,3
8,22
15,8
9,16
27,28
9,20
2,9
37,10
31,6
34,26
0,11
20,28
21,11
13,28
29,3
24,21
9,19
22,10
24,20
2,20
24,14
45,21
3,21
15,28
12,8
19,24
10,14
44,16
14,7
43,24
28,13
36,27
21,13
2,8
3,8
31,13
31,18
0,12
2,15
12,9
22,24
43,0
30,19
35,10
43,12
29,10
33,9
44,26
6,24
25,28
33,3
28,8
2,7
29,15
26,28
11,10
22,14
39,10
30,20
33,28
29,21
43,26
41,10
40,10
34,3
10,20
1,28
45,14
24,25
45,9
23,18
1,13
46,18
21,8
15,9
9,8
43,4
25,26
36,3
0,17
28,27
22,20
42,1
21,16
35,1
4,27
42,2
12,10
44,10
1,21
45,24
44,11
29,9
33,1
2,24
32,28
22,19
29,7
20,11
44,21
2,16
21,20
0,20
21,18
24,27
6,28
19,10
31,8
6,25
42,26
44,1
34,27
32,3
24,15
31,3
39,0
3,11
13,7
9,17
30,7
21,9
44,28
30,16
37,28
23,17
2,14
24,12
7,17
44,19
43,20
8,15
31,12
7,18
43,19
1,11
10,11
10,9
36,0
44,12
46,24
31,2
12,7
44,14
9,18
31,5
43,21
30,10
28,12
31,10
30,14
34,9
40,26
29,12
45,2
42,24
8,11
15,26
29,19
1,20
14,28
40,8
14,10
39,28
8,21
20,8
20,10
8,18
43,15
7,20
10,24
31,9
22,18
29,18
38,24
3,13
45,18
0,18
12,28
42,28
32,11
10,21
24,13
23,19
30,18
7,10
21,14
44,4
26,24
24,19
44,20
18,28
1,26
23,10
43,14
14,24
1,14
16,10
34,8
36,8
42,11
30,1
38,28
33,10
8,9
39,9
3,20
8,14
7,14
31,7
1,18
0,13
16,7
4,25
30,5
17,9
13,9
29,13
24,10
40,27
26,26
30,26
32,1
0,10
12,24
19,8
30,17
10,8
36,26
45,1
32,24
45,13
46,20
3,24
43,9
42,9
21,21
2,17
14,8
43,2
15,24
30,6
1,19
31,16
38,9
34,10
28,11
21,28
46,2
24,16
35,3
1,12
28,21
22,11
0,8
7,24
13,8
10,27
23,12
21,17
7,12
18,24
40,25
3,26
2,18
3,14
45,17
45,4
9,21
14,26
1,22
0,21
2,28
8,20
7,22
46,27
46,12
29,20
33,4
21,24
37,3
30,12
32,5
31,11
2,19
46,14
32,9
9,14
37,24
23,16
46,3
9,24
38,2
42,25
2,11
9,10
31,20
35,8
43,10
44,17
21,10
0,22
29,22
45,15
31,19
19,28
21,15
24,11
30,13
13,10
44,24
0,16
1,10
46,11
32,2
29,5
43,17
45,12
45,8
0,14
20,9
45,11
29,14
45,16
9,28
28,6
